,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,845.0,330.0,388.0,341.0,1.0,449.0,161.0,998.0,271.0,16.0,914.0
MTORC1,284.0,468.0,129.0,960.0,441.0,797.0,213.0,419.0,142.0,991.0,679.0
PDGFR,909.0,208.0,70.0,32.0,433.0,619.0,20.0,974.0,197.0,397.0,526.0
KIT,0.0,228.0,922.0,952.0,534.0,932.0,725.0,988.0,743.0,138.0,302.0
VEGFR,0.0,309.0,899.0,930.0,999.0,760.0,998.0,34.0,802.0,389.0,554.0
FLT3,26.0,691.0,719.0,985.0,1000.0,93.0,947.0,0.0,32.0,657.0,385.0
RET,976.0,151.0,743.0,740.0,321.0,171.0,670.0,605.0,56.0,102.0,205.0
CSF1R,2.0,627.0,901.0,1000.0,1000.0,8.0,970.0,1.0,221.0,626.0,287.0
MET,335.0,449.0,426.0,160.0,662.0,375.0,3.0,972.0,357.0,35.0,561.0
Proteasome,743.0,280.0,35.0,657.0,3.0,751.0,498.0,988.0,485.0,485.0,882.0
CAPN1,541.0,147.0,515.0,791.0,2.0,634.0,931.0,1000.0,754.0,190.0,604.0
Microtubule stabiliser,882.0,222.0,198.0,343.0,984.0,468.0,697.0,18.0,179.0,189.0,624.0
SMO,538.0,358.0,762.0,717.0,0.0,778.0,200.0,1000.0,253.0,123.0,602.0
BRAF,97.0,88.0,451.0,27.0,404.0,820.0,692.0,999.0,937.0,72.0,216.0
RAF,135.0,479.0,480.0,975.0,998.0,30.0,963.0,97.0,41.0,761.0,477.0
AURKA,998.0,970.0,7.0,0.0,998.0,223.0,5.0,0.0,436.0,660.0,420.0
AURKB,0.0,27.0,972.0,999.0,144.0,817.0,937.0,999.0,470.0,131.0,880.0
AURKC,838.0,901.0,29.0,1.0,1000.0,305.0,158.0,2.0,322.0,877.0,255.0
others,375.0,61.0,63.0,916.0,703.0,486.0,954.0,984.0,65.0,581.0,95.0
ABL,66.0,249.0,454.0,50.0,32.0,976.0,148.0,1000.0,937.0,422.0,597.0
ALK,337.0,161.0,303.0,271.0,494.0,115.0,148.0,993.0,499.0,127.0,825.0
ROS1,901.0,52.0,291.0,99.0,34.0,917.0,38.0,920.0,779.0,273.0,762.0
SRC,959.0,12.0,627.0,61.0,19.0,916.0,10.0,997.0,390.0,22.0,497.0
KIF11,941.0,81.0,96.0,363.0,961.0,582.0,641.0,41.0,435.0,509.0,586.0
