,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,903.0,737.0,950.0,483.0,107.0,487.0,302.0,360.0,421.0,5.0,943.0
MTORC1,192.0,590.0,834.0,985.0,14.0,69.0,111.0,718.0,118.0,542.0,763.0
PDGFR,0.0,774.0,805.0,980.0,201.0,408.0,328.0,355.0,393.0,498.0,997.0
KIT,984.0,580.0,918.0,94.0,911.0,119.0,502.0,20.0,173.0,193.0,71.0
VEGFR,234.0,446.0,299.0,200.0,998.0,657.0,623.0,52.0,936.0,482.0,853.0
FLT3,328.0,286.0,884.0,511.0,559.0,354.0,598.0,372.0,325.0,465.0,650.0
RET,230.0,640.0,777.0,963.0,1.0,818.0,478.0,985.0,374.0,84.0,906.0
CSF1R,114.0,392.0,673.0,696.0,586.0,847.0,972.0,226.0,731.0,255.0,896.0
MET,198.0,979.0,933.0,805.0,530.0,719.0,465.0,0.0,340.0,312.0,986.0
Proteasome,3.0,988.0,787.0,707.0,694.0,30.0,773.0,88.0,668.0,870.0,653.0
CAPN1,137.0,796.0,968.0,490.0,915.0,132.0,937.0,70.0,842.0,430.0,94.0
Microtubule stabiliser,107.0,798.0,556.0,388.0,860.0,375.0,422.0,35.0,88.0,410.0,992.0
SMO,765.0,326.0,919.0,997.0,331.0,308.0,44.0,46.0,479.0,12.0,999.0
BRAF,10.0,906.0,183.0,601.0,21.0,867.0,861.0,845.0,774.0,949.0,776.0
RAF,14.0,846.0,862.0,961.0,89.0,566.0,696.0,49.0,879.0,994.0,505.0
AURKA,857.0,468.0,8.0,0.0,1000.0,129.0,606.0,669.0,44.0,886.0,11.0
AURKB,292.0,539.0,865.0,997.0,237.0,263.0,39.0,482.0,671.0,12.0,985.0
AURKC,277.0,428.0,22.0,12.0,999.0,166.0,778.0,755.0,76.0,950.0,131.0
others,89.0,973.0,867.0,197.0,500.0,605.0,895.0,26.0,106.0,961.0,155.0
ABL,135.0,636.0,969.0,870.0,3.0,176.0,748.0,686.0,71.0,580.0,765.0
ALK,994.0,9.0,370.0,354.0,807.0,427.0,191.0,982.0,362.0,0.0,855.0
ROS1,13.0,726.0,294.0,843.0,99.0,697.0,822.0,136.0,825.0,1000.0,353.0
SRC,232.0,813.0,689.0,933.0,5.0,208.0,224.0,539.0,11.0,704.0,861.0
