,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,608.0,997.0,129.0,916.0,17.0,793.0,376.0,659.0,687.0,432.0,60.0
MTORC1,9.0,862.0,227.0,1000.0,762.0,790.0,149.0,20.0,783.0,898.0,339.0
PDGFR,1000.0,484.0,283.0,17.0,531.0,400.0,714.0,123.0,174.0,426.0,364.0
KIT,19.0,705.0,480.0,862.0,429.0,576.0,851.0,948.0,157.0,72.0,847.0
VEGFR,730.0,469.0,857.0,937.0,745.0,248.0,890.0,27.0,63.0,266.0,676.0
FLT3,33.0,111.0,140.0,960.0,1000.0,606.0,176.0,16.0,977.0,526.0,565.0
RET,507.0,986.0,165.0,856.0,46.0,673.0,488.0,589.0,815.0,244.0,269.0
CSF1R,314.0,501.0,202.0,936.0,72.0,637.0,790.0,804.0,73.0,965.0,994.0
MET,233.0,70.0,389.0,942.0,103.0,194.0,490.0,970.0,522.0,563.0,604.0
Proteasome,426.0,869.0,889.0,616.0,609.0,852.0,68.0,69.0,432.0,497.0,293.0
CAPN1,68.0,510.0,776.0,834.0,238.0,926.0,344.0,888.0,491.0,441.0,486.0
Microtubule stabiliser,910.0,673.0,685.0,30.0,601.0,532.0,290.0,104.0,267.0,887.0,588.0
SMO,0.0,114.0,682.0,1000.0,92.0,548.0,969.0,970.0,98.0,695.0,788.0
BRAF,151.0,255.0,839.0,15.0,211.0,780.0,665.0,996.0,164.0,562.0,507.0
RAF,30.0,69.0,815.0,586.0,227.0,906.0,237.0,968.0,610.0,640.0,430.0
AURKA,217.0,827.0,61.0,381.0,23.0,777.0,494.0,927.0,936.0,550.0,783.0
AURKB,762.0,580.0,790.0,759.0,70.0,539.0,588.0,454.0,13.0,903.0,932.0
AURKC,624.0,380.0,619.0,655.0,522.0,535.0,560.0,56.0,189.0,959.0,826.0
others,220.0,192.0,502.0,730.0,293.0,466.0,969.0,491.0,318.0,493.0,1000.0
ABL,994.0,791.0,334.0,829.0,261.0,489.0,847.0,655.0,0.0,207.0,724.0
ALK,83.0,994.0,57.0,813.0,530.0,881.0,81.0,150.0,693.0,895.0,826.0
ROS1,372.0,500.0,506.0,836.0,124.0,279.0,900.0,631.0,450.0,423.0,891.0
SRC,977.0,999.0,59.0,337.0,721.0,918.0,235.0,27.0,448.0,397.0,164.0
KIF11,112.0,812.0,661.0,529.0,658.0,556.0,768.0,227.0,81.0,811.0,922.0
gamma-secretase,1000.0,273.0,349.0,0.0,856.0,320.0,876.0,14.0,202.0,664.0,944.0
Ephrins,967.0,954.0,161.0,157.0,854.0,894.0,188.0,31.0,317.0,799.0,302.0
BCR-ABL,435.0,482.0,334.0,959.0,21.0,491.0,820.0,728.0,321.0,876.0,819.0
CDK1,1000.0,817.0,217.0,7.0,549.0,347.0,845.0,159.0,754.0,43.0,343.0
CDK2,999.0,661.0,4.0,27.0,21.0,978.0,753.0,404.0,999.0,203.0,842.0
CDK5,373.0,732.0,176.0,246.0,660.0,574.0,816.0,242.0,885.0,381.0,822.0
CDK7,626.0,738.0,483.0,362.0,563.0,648.0,568.0,561.0,738.0,106.0,66.0
CDK9,48.0,454.0,580.0,708.0,955.0,774.0,506.0,275.0,258.0,611.0,854.0
PKC,882.0,123.0,940.0,320.0,884.0,464.0,172.0,26.0,78.0,961.0,333.0
CDK4,635.0,889.0,54.0,759.0,963.0,776.0,322.0,33.0,243.0,914.0,428.0
LCK,163.0,702.0,93.0,930.0,819.0,693.0,293.0,13.0,942.0,792.0,892.0
FYN,915.0,977.0,197.0,846.0,307.0,949.0,98.0,22.0,682.0,659.0,467.0
BMX,164.0,837.0,7.0,832.0,881.0,636.0,226.0,442.0,912.0,304.0,339.0
