,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,184.0,324.0,657.0,763.0,712.0,884.0,168.0,341.0,434.0,398.0,841.0
MTORC1,388.0,907.0,419.0,198.0,32.0,463.0,347.0,870.0,771.0,471.0,738.0
PDGFR,623.0,230.0,793.0,235.0,3.0,66.0,825.0,1000.0,340.0,337.0,153.0
KIT,548.0,679.0,985.0,795.0,794.0,993.0,464.0,2.0,718.0,132.0,299.0
VEGFR,19.0,839.0,91.0,553.0,118.0,540.0,648.0,989.0,183.0,845.0,932.0
FLT3,3.0,283.0,851.0,995.0,837.0,872.0,147.0,566.0,264.0,795.0,327.0
RET,192.0,607.0,729.0,653.0,988.0,705.0,301.0,5.0,949.0,709.0,124.0
CSF1R,999.0,107.0,798.0,85.0,51.0,412.0,650.0,210.0,690.0,686.0,166.0
MET,864.0,105.0,703.0,355.0,379.0,822.0,816.0,554.0,504.0,141.0,348.0
Proteasome,754.0,390.0,998.0,47.0,6.0,141.0,589.0,933.0,219.0,221.0,413.0
CAPN1,636.0,69.0,332.0,612.0,308.0,145.0,787.0,831.0,818.0,50.0,521.0
Microtubule stabiliser,614.0,542.0,907.0,11.0,135.0,233.0,718.0,947.0,184.0,813.0,245.0
SMO,315.0,19.0,989.0,888.0,508.0,374.0,581.0,597.0,581.0,374.0,44.0
BRAF,120.0,263.0,38.0,911.0,908.0,961.0,731.0,150.0,475.0,173.0,985.0
RAF,501.0,116.0,583.0,250.0,602.0,782.0,965.0,853.0,729.0,10.0,290.0
AURKA,157.0,279.0,28.0,730.0,178.0,15.0,586.0,980.0,743.0,400.0,790.0
AURKB,44.0,779.0,219.0,706.0,204.0,773.0,627.0,977.0,35.0,770.0,829.0
AURKC,426.0,293.0,771.0,447.0,26.0,6.0,526.0,787.0,692.0,459.0,666.0
others,907.0,726.0,669.0,327.0,65.0,40.0,612.0,488.0,581.0,188.0,593.0
ABL,4.0,38.0,97.0,996.0,123.0,688.0,831.0,1000.0,106.0,543.0,717.0
ALK,473.0,319.0,194.0,986.0,982.0,87.0,349.0,1.0,555.0,535.0,601.0
ROS1,700.0,242.0,996.0,49.0,0.0,799.0,692.0,978.0,136.0,662.0,190.0
SRC,962.0,374.0,778.0,45.0,531.0,662.0,672.0,73.0,582.0,244.0,559.0
KIF11,619.0,112.0,995.0,58.0,57.0,134.0,774.0,977.0,215.0,262.0,133.0
gamma-secretase,973.0,114.0,994.0,17.0,2.0,61.0,462.0,958.0,333.0,155.0,262.0
Ephrins,990.0,511.0,965.0,36.0,5.0,218.0,243.0,598.0,547.0,790.0,175.0
BCR-ABL,576.0,134.0,989.0,668.0,7.0,387.0,692.0,948.0,118.0,544.0,159.0
CDK1,95.0,711.0,29.0,987.0,709.0,895.0,301.0,455.0,190.0,335.0,981.0
CDK2,555.0,139.0,439.0,946.0,5.0,1.0,389.0,944.0,428.0,378.0,887.0
CDK5,736.0,179.0,970.0,364.0,26.0,15.0,845.0,557.0,864.0,16.0,461.0
CDK7,379.0,679.0,439.0,67.0,376.0,815.0,820.0,963.0,633.0,424.0,153.0
CDK9,988.0,544.0,933.0,4.0,370.0,851.0,389.0,101.0,990.0,129.0,96.0
PKC,951.0,823.0,965.0,10.0,82.0,981.0,431.0,432.0,131.0,874.0,324.0
CDK4,2.0,329.0,215.0,1000.0,620.0,867.0,566.0,309.0,651.0,92.0,982.0
LCK,867.0,142.0,792.0,52.0,399.0,210.0,742.0,557.0,871.0,39.0,414.0
FYN,995.0,208.0,943.0,25.0,660.0,760.0,739.0,285.0,302.0,481.0,41.0
BMX,290.0,439.0,22.0,918.0,467.0,148.0,196.0,909.0,715.0,212.0,826.0
PLK1,897.0,457.0,997.0,13.0,8.0,134.0,475.0,968.0,301.0,599.0,118.0
PLK2,996.0,399.0,895.0,64.0,35.0,35.0,283.0,733.0,512.0,276.0,247.0
PLK3,1.0,576.0,36.0,932.0,974.0,299.0,759.0,960.0,327.0,542.0,445.0
IGF1R,865.0,600.0,614.0,673.0,895.0,150.0,373.0,0.0,750.0,909.0,210.0
IR,954.0,565.0,982.0,13.0,735.0,569.0,589.0,51.0,154.0,589.0,265.0
ITK,992.0,264.0,677.0,279.0,548.0,118.0,444.0,137.0,507.0,210.0,351.0
RSK2,989.0,114.0,998.0,65.0,2.0,163.0,296.0,798.0,454.0,116.0,328.0
Dihydrofolate reductase (DHFR),6.0,565.0,397.0,992.0,607.0,836.0,330.0,2.0,935.0,565.0,982.0
MTOR,89.0,956.0,766.0,619.0,264.0,704.0,189.0,469.0,277.0,698.0,855.0
AKT1,535.0,730.0,943.0,642.0,983.0,396.0,99.0,1.0,511.0,231.0,636.0
AKT2,273.0,800.0,794.0,905.0,983.0,550.0,41.0,0.0,413.0,356.0,807.0
AKT3,340.0,20.0,69.0,794.0,120.0,146.0,814.0,1000.0,209.0,449.0,142.0
HDAC1,815.0,289.0,258.0,690.0,591.0,26.0,675.0,923.0,207.0,612.0,14.0
HDAC3,38.0,190.0,836.0,992.0,97.0,91.0,138.0,256.0,448.0,314.0,989.0
IKK,437.0,487.0,628.0,863.0,880.0,638.0,229.0,73.0,55.0,859.0,590.0
PI3Kbeta,892.0,462.0,262.0,207.0,909.0,915.0,217.0,119.0,423.0,899.0,287.0
ERK5,431.0,512.0,225.0,201.0,677.0,940.0,593.0,90.0,977.0,625.0,563.0
BET,940.0,388.0,778.0,93.0,35.0,237.0,288.0,278.0,908.0,920.0,198.0
EIF2A,314.0,97.0,850.0,440.0,73.0,817.0,953.0,997.0,686.0,24.0,189.0
ERBB2,226.0,368.0,366.0,972.0,904.0,913.0,385.0,820.0,241.0,732.0,23.0
ROCK1,53.0,33.0,172.0,780.0,694.0,135.0,960.0,927.0,588.0,187.0,652.0
ROCK2,269.0,77.0,21.0,871.0,964.0,3.0,837.0,610.0,602.0,83.0,702.0
Anthracycline,945.0,895.0,285.0,169.0,200.0,370.0,135.0,243.0,354.0,972.0,531.0
TOP2,804.0,875.0,103.0,568.0,376.0,472.0,71.0,191.0,540.0,948.0,679.0
Pyrimidine antimetabolite,787.0,783.0,472.0,135.0,27.0,443.0,196.0,704.0,491.0,983.0,460.0
DNA crosslinker,510.0,750.0,159.0,867.0,345.0,647.0,98.0,236.0,183.0,967.0,872.0
