,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,147.0,645.0,213.0,1000.0,334.0,107.0,191.0,948.0,615.0,541.0,832.0
MTORC1,168.0,683.0,764.0,118.0,68.0,942.0,265.0,596.0,518.0,592.0,798.0
PDGFR,912.0,466.0,405.0,188.0,910.0,276.0,125.0,252.0,383.0,865.0,119.0
KIT,13.0,20.0,284.0,996.0,879.0,847.0,788.0,724.0,897.0,184.0,291.0
VEGFR,908.0,981.0,514.0,630.0,1000.0,90.0,235.0,0.0,39.0,795.0,622.0
FLT3,865.0,116.0,230.0,26.0,127.0,625.0,716.0,971.0,14.0,603.0,65.0
RET,953.0,805.0,125.0,4.0,447.0,764.0,70.0,755.0,11.0,857.0,92.0
CSF1R,891.0,740.0,926.0,874.0,206.0,420.0,116.0,143.0,42.0,653.0,677.0
MET,968.0,285.0,497.0,799.0,660.0,182.0,727.0,297.0,509.0,410.0,252.0
Proteasome,406.0,822.0,840.0,342.0,884.0,332.0,280.0,8.0,905.0,974.0,138.0
CAPN1,342.0,624.0,554.0,943.0,687.0,137.0,607.0,410.0,756.0,796.0,99.0
Microtubule stabiliser,434.0,986.0,922.0,750.0,942.0,177.0,399.0,0.0,702.0,626.0,917.0
SMO,150.0,100.0,212.0,971.0,223.0,855.0,369.0,788.0,608.0,573.0,776.0
BRAF,838.0,309.0,687.0,2.0,129.0,764.0,164.0,404.0,176.0,988.0,140.0
RAF,472.0,712.0,954.0,226.0,361.0,224.0,813.0,286.0,241.0,478.0,401.0
AURKA,146.0,820.0,413.0,693.0,973.0,113.0,961.0,6.0,834.0,549.0,930.0
AURKB,457.0,885.0,696.0,471.0,918.0,252.0,240.0,0.0,204.0,999.0,989.0
AURKC,661.0,768.0,978.0,656.0,848.0,226.0,320.0,13.0,704.0,650.0,385.0
others,343.0,468.0,81.0,401.0,96.0,859.0,744.0,937.0,256.0,534.0,82.0
ABL,660.0,309.0,775.0,76.0,27.0,947.0,34.0,320.0,338.0,994.0,300.0
ALK,765.0,30.0,3.0,217.0,284.0,917.0,816.0,883.0,381.0,718.0,56.0
ROS1,461.0,933.0,492.0,989.0,945.0,78.0,364.0,31.0,102.0,795.0,487.0
SRC,116.0,376.0,748.0,698.0,231.0,85.0,506.0,927.0,996.0,729.0,574.0
KIF11,569.0,993.0,735.0,942.0,986.0,120.0,259.0,1.0,475.0,841.0,241.0
gamma-secretase,589.0,881.0,377.0,678.0,520.0,314.0,53.0,454.0,375.0,963.0,40.0
Ephrins,210.0,250.0,775.0,501.0,155.0,448.0,337.0,864.0,998.0,620.0,359.0
BCR-ABL,792.0,79.0,53.0,332.0,110.0,767.0,205.0,974.0,188.0,863.0,30.0
CDK1,114.0,849.0,9.0,994.0,999.0,230.0,169.0,130.0,926.0,840.0,245.0
CDK2,94.0,259.0,32.0,304.0,150.0,973.0,553.0,918.0,946.0,469.0,527.0
CDK5,72.0,383.0,110.0,561.0,143.0,974.0,153.0,671.0,957.0,789.0,736.0
CDK7,230.0,850.0,977.0,829.0,987.0,47.0,685.0,138.0,442.0,97.0,677.0
CDK9,922.0,688.0,975.0,692.0,217.0,54.0,669.0,883.0,20.0,28.0,656.0
PKC,344.0,353.0,477.0,373.0,410.0,973.0,155.0,38.0,831.0,914.0,321.0
CDK4,522.0,787.0,916.0,179.0,998.0,165.0,884.0,1.0,513.0,391.0,490.0
LCK,36.0,101.0,437.0,169.0,0.0,934.0,600.0,999.0,955.0,573.0,580.0
FYN,971.0,728.0,920.0,227.0,256.0,163.0,321.0,204.0,318.0,594.0,562.0
BMX,55.0,667.0,777.0,1000.0,997.0,79.0,687.0,24.0,328.0,272.0,943.0
PLK1,448.0,986.0,981.0,796.0,956.0,97.0,312.0,0.0,545.0,521.0,741.0
PLK2,220.0,925.0,981.0,647.0,753.0,315.0,229.0,6.0,670.0,870.0,684.0
PLK3,513.0,909.0,815.0,727.0,959.0,30.0,860.0,403.0,541.0,15.0,775.0
IGF1R,651.0,978.0,3.0,51.0,959.0,758.0,502.0,126.0,569.0,510.0,129.0
IR,977.0,982.0,87.0,275.0,921.0,37.0,323.0,54.0,324.0,853.0,261.0
ITK,867.0,981.0,836.0,22.0,420.0,291.0,287.0,124.0,37.0,817.0,239.0
RSK2,878.0,977.0,354.0,430.0,227.0,573.0,68.0,116.0,83.0,963.0,421.0
Dihydrofolate reductase (DHFR),659.0,7.0,555.0,76.0,2.0,887.0,747.0,1000.0,816.0,125.0,410.0
MTOR,727.0,833.0,903.0,57.0,160.0,629.0,85.0,318.0,572.0,759.0,659.0
AKT1,457.0,494.0,55.0,985.0,932.0,124.0,482.0,485.0,576.0,673.0,159.0
AKT2,499.0,672.0,142.0,942.0,938.0,142.0,513.0,196.0,676.0,791.0,225.0
AKT3,571.0,251.0,808.0,43.0,0.0,636.0,750.0,998.0,642.0,219.0,531.0
HDAC1,573.0,656.0,134.0,833.0,30.0,336.0,223.0,1000.0,394.0,182.0,230.0
HDAC3,816.0,462.0,950.0,159.0,252.0,546.0,368.0,102.0,587.0,911.0,215.0
IKK,357.0,97.0,282.0,588.0,336.0,845.0,392.0,641.0,178.0,698.0,697.0
PI3Kbeta,736.0,10.0,820.0,560.0,0.0,898.0,124.0,1000.0,599.0,491.0,206.0
ERK5,895.0,435.0,904.0,480.0,586.0,37.0,943.0,537.0,173.0,146.0,471.0
BET,468.0,284.0,985.0,846.0,632.0,92.0,841.0,107.0,650.0,555.0,671.0
EIF2A,160.0,694.0,688.0,904.0,711.0,300.0,351.0,198.0,484.0,967.0,170.0
ERBB2,143.0,631.0,853.0,1000.0,293.0,55.0,133.0,891.0,531.0,646.0,932.0
ROCK1,678.0,303.0,729.0,123.0,137.0,883.0,374.0,40.0,519.0,917.0,607.0
ROCK2,314.0,72.0,307.0,216.0,701.0,888.0,903.0,44.0,862.0,702.0,476.0
Anthracycline,373.0,972.0,820.0,439.0,743.0,474.0,271.0,5.0,857.0,795.0,736.0
