,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,14.0,946.0,32.0,950.0,884.0,872.0,555.0,161.0,745.0,776.0,534.0
MTORC1,654.0,682.0,55.0,109.0,799.0,896.0,490.0,373.0,653.0,130.0,307.0
PDGFR,309.0,643.0,798.0,754.0,476.0,525.0,289.0,404.0,423.0,766.0,406.0
KIT,989.0,721.0,771.0,3.0,543.0,80.0,427.0,811.0,297.0,667.0,327.0
VEGFR,27.0,711.0,737.0,743.0,434.0,754.0,404.0,597.0,706.0,912.0,461.0
FLT3,891.0,145.0,276.0,30.0,711.0,427.0,638.0,651.0,704.0,957.0,504.0
RET,4.0,371.0,346.0,982.0,167.0,971.0,524.0,749.0,879.0,695.0,593.0
CSF1R,734.0,302.0,553.0,535.0,946.0,604.0,586.0,13.0,582.0,218.0,183.0
MET,113.0,397.0,591.0,429.0,192.0,552.0,768.0,805.0,760.0,512.0,704.0
Proteasome,544.0,334.0,318.0,684.0,196.0,608.0,556.0,698.0,355.0,363.0,700.0
CAPN1,579.0,641.0,826.0,146.0,282.0,324.0,429.0,906.0,348.0,493.0,455.0
Microtubule stabiliser,745.0,268.0,270.0,637.0,640.0,601.0,468.0,290.0,272.0,484.0,628.0
SMO,280.0,536.0,871.0,202.0,94.0,619.0,425.0,834.0,776.0,755.0,601.0
BRAF,275.0,556.0,717.0,322.0,362.0,922.0,232.0,725.0,222.0,232.0,237.0
RAF,639.0,429.0,174.0,769.0,919.0,593.0,531.0,65.0,615.0,578.0,468.0
AURKA,978.0,31.0,802.0,390.0,406.0,337.0,322.0,170.0,876.0,67.0,378.0
AURKB,844.0,823.0,646.0,225.0,358.0,171.0,324.0,794.0,42.0,216.0,748.0
AURKC,307.0,358.0,413.0,526.0,166.0,576.0,682.0,654.0,903.0,357.0,684.0
others,993.0,116.0,679.0,108.0,974.0,94.0,662.0,9.0,581.0,415.0,208.0
ABL,402.0,938.0,942.0,592.0,456.0,145.0,202.0,531.0,129.0,650.0,572.0
ALK,135.0,331.0,477.0,764.0,469.0,837.0,525.0,347.0,874.0,349.0,377.0
ROS1,647.0,528.0,535.0,426.0,446.0,379.0,504.0,584.0,284.0,464.0,578.0
SRC,82.0,691.0,474.0,994.0,360.0,450.0,551.0,64.0,806.0,741.0,775.0
KIF11,483.0,420.0,285.0,585.0,437.0,701.0,498.0,519.0,472.0,423.0,597.0
gamma-secretase,326.0,445.0,499.0,525.0,136.0,603.0,520.0,884.0,272.0,332.0,697.0
Ephrins,604.0,325.0,171.0,753.0,569.0,669.0,604.0,291.0,417.0,347.0,632.0
BCR-ABL,769.0,467.0,162.0,575.0,957.0,589.0,491.0,33.0,661.0,526.0,352.0
CDK1,561.0,294.0,829.0,563.0,86.0,195.0,872.0,597.0,609.0,828.0,674.0
CDK2,984.0,64.0,639.0,182.0,798.0,104.0,837.0,47.0,853.0,489.0,311.0
CDK5,811.0,296.0,529.0,728.0,629.0,425.0,753.0,21.0,809.0,243.0,421.0
