,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,37.0,437.0,362.0,985.0,967.0,579.0,595.0,65.0,676.0,407.0,730.0
MTORC1,162.0,38.0,649.0,690.0,596.0,676.0,64.0,193.0,167.0,970.0,334.0
PDGFR,731.0,943.0,804.0,75.0,631.0,619.0,901.0,327.0,532.0,195.0,445.0
KIT,374.0,113.0,95.0,403.0,1000.0,962.0,288.0,7.0,417.0,922.0,621.0
VEGFR,435.0,363.0,763.0,9.0,752.0,674.0,946.0,763.0,327.0,723.0,469.0
FLT3,694.0,30.0,415.0,89.0,72.0,745.0,811.0,989.0,453.0,402.0,464.0
RET,293.0,77.0,374.0,974.0,901.0,483.0,893.0,222.0,781.0,304.0,283.0
CSF1R,876.0,893.0,545.0,396.0,987.0,301.0,808.0,8.0,839.0,207.0,632.0
MET,0.0,816.0,636.0,976.0,918.0,174.0,550.0,714.0,506.0,646.0,610.0
Proteasome,56.0,772.0,822.0,679.0,353.0,327.0,541.0,502.0,605.0,670.0,503.0
CAPN1,544.0,606.0,112.0,685.0,952.0,518.0,368.0,70.0,547.0,727.0,383.0
Microtubule stabiliser,657.0,632.0,815.0,249.0,401.0,137.0,754.0,394.0,794.0,501.0,582.0
SMO,562.0,584.0,138.0,419.0,957.0,612.0,394.0,76.0,452.0,721.0,885.0
BRAF,224.0,991.0,795.0,211.0,422.0,298.0,713.0,887.0,157.0,166.0,994.0
RAF,357.0,239.0,177.0,756.0,186.0,712.0,206.0,876.0,414.0,541.0,297.0
AURKA,997.0,35.0,685.0,0.0,606.0,519.0,345.0,573.0,159.0,955.0,265.0
AURKB,767.0,817.0,453.0,33.0,598.0,609.0,494.0,264.0,749.0,603.0,923.0
AURKC,988.0,228.0,748.0,1.0,798.0,458.0,536.0,153.0,193.0,915.0,466.0
others,801.0,804.0,792.0,201.0,464.0,150.0,437.0,652.0,474.0,457.0,92.0
ABL,210.0,967.0,585.0,901.0,768.0,370.0,281.0,332.0,37.0,110.0,979.0
ALK,4.0,643.0,375.0,367.0,881.0,870.0,883.0,928.0,155.0,698.0,876.0
ROS1,1.0,946.0,710.0,963.0,887.0,91.0,366.0,552.0,529.0,554.0,431.0
SRC,480.0,645.0,715.0,551.0,993.0,282.0,220.0,1.0,260.0,910.0,267.0
KIF11,326.0,906.0,827.0,638.0,702.0,260.0,721.0,78.0,638.0,412.0,839.0
gamma-secretase,142.0,852.0,628.0,903.0,813.0,345.0,531.0,22.0,578.0,768.0,748.0
Ephrins,748.0,211.0,371.0,978.0,845.0,373.0,22.0,1.0,497.0,867.0,437.0
BCR-ABL,297.0,917.0,602.0,903.0,615.0,497.0,706.0,166.0,591.0,135.0,956.0
CDK1,202.0,946.0,822.0,371.0,691.0,50.0,822.0,865.0,438.0,315.0,634.0
CDK2,87.0,645.0,489.0,268.0,252.0,812.0,752.0,977.0,64.0,704.0,802.0
CDK5,652.0,518.0,946.0,125.0,35.0,612.0,435.0,988.0,17.0,314.0,458.0
CDK7,1000.0,633.0,540.0,13.0,10.0,179.0,118.0,485.0,700.0,476.0,95.0
CDK9,736.0,222.0,37.0,760.0,347.0,726.0,463.0,584.0,737.0,564.0,301.0
PKC,133.0,825.0,797.0,885.0,485.0,465.0,426.0,105.0,554.0,489.0,564.0
CDK4,907.0,480.0,939.0,126.0,479.0,190.0,945.0,463.0,597.0,208.0,657.0
