,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,941.0,582.0,254.0,50.0,830.0,968.0,156.0,677.0,379.0,179.0,8.0
MTORC1,1000.0,745.0,0.0,0.0,961.0,941.0,540.0,220.0,174.0,626.0,964.0
PDGFR,511.0,74.0,142.0,785.0,997.0,329.0,838.0,2.0,894.0,771.0,745.0
KIT,3.0,851.0,1000.0,985.0,855.0,431.0,151.0,29.0,148.0,383.0,362.0
VEGFR,2.0,785.0,592.0,892.0,459.0,24.0,996.0,272.0,384.0,927.0,296.0
FLT3,901.0,1000.0,677.0,43.0,7.0,211.0,410.0,964.0,75.0,242.0,38.0
RET,999.0,112.0,29.0,0.0,970.0,459.0,886.0,598.0,398.0,204.0,945.0
CSF1R,986.0,274.0,37.0,536.0,1000.0,402.0,706.0,2.0,164.0,661.0,776.0
MET,595.0,132.0,166.0,53.0,883.0,766.0,538.0,651.0,212.0,933.0,863.0
Proteasome,1000.0,149.0,755.0,5.0,1000.0,256.0,32.0,1.0,39.0,537.0,420.0
CAPN1,1000.0,405.0,883.0,8.0,1000.0,88.0,238.0,38.0,11.0,536.0,86.0
Microtubule stabiliser,998.0,297.0,37.0,95.0,966.0,818.0,144.0,5.0,685.0,922.0,987.0
SMO,984.0,655.0,90.0,84.0,994.0,666.0,435.0,6.0,67.0,951.0,930.0
BRAF,338.0,180.0,100.0,317.0,1000.0,937.0,90.0,27.0,868.0,915.0,12.0
RAF,890.0,800.0,241.0,214.0,998.0,660.0,631.0,3.0,23.0,778.0,823.0
AURKA,87.0,758.0,560.0,457.0,0.0,591.0,798.0,965.0,969.0,519.0,564.0
AURKB,1000.0,619.0,71.0,0.0,985.0,774.0,307.0,1.0,496.0,887.0,970.0
AURKC,484.0,544.0,265.0,292.0,26.0,655.0,390.0,440.0,989.0,688.0,576.0
others,993.0,35.0,52.0,23.0,974.0,237.0,846.0,145.0,897.0,139.0,39.0
ABL,35.0,867.0,240.0,875.0,554.0,616.0,785.0,68.0,898.0,745.0,974.0
ALK,716.0,788.0,212.0,220.0,166.0,49.0,985.0,986.0,38.0,270.0,114.0
ROS1,947.0,449.0,4.0,12.0,960.0,708.0,801.0,459.0,49.0,944.0,799.0
SRC,976.0,35.0,597.0,561.0,1000.0,551.0,59.0,0.0,444.0,793.0,755.0
KIF11,1000.0,280.0,0.0,0.0,237.0,650.0,810.0,794.0,407.0,797.0,930.0
gamma-secretase,1000.0,300.0,2.0,0.0,971.0,709.0,573.0,94.0,123.0,896.0,929.0
Ephrins,1000.0,58.0,255.0,56.0,1000.0,926.0,0.0,0.0,342.0,540.0,744.0
BCR-ABL,43.0,163.0,702.0,992.0,957.0,667.0,523.0,15.0,664.0,474.0,997.0
CDK1,531.0,514.0,1.0,393.0,199.0,562.0,994.0,341.0,947.0,758.0,994.0
CDK2,942.0,103.0,7.0,52.0,9.0,897.0,848.0,1000.0,895.0,28.0,695.0
CDK5,832.0,112.0,145.0,245.0,744.0,732.0,852.0,144.0,851.0,456.0,513.0
CDK7,789.0,386.0,145.0,323.0,821.0,110.0,711.0,175.0,297.0,981.0,19.0
CDK9,994.0,43.0,651.0,166.0,1000.0,643.0,423.0,0.0,16.0,810.0,702.0
PKC,995.0,234.0,960.0,125.0,962.0,477.0,28.0,24.0,271.0,420.0,935.0
CDK4,987.0,248.0,221.0,7.0,958.0,582.0,433.0,174.0,59.0,933.0,812.0
LCK,966.0,74.0,959.0,812.0,1000.0,540.0,63.0,0.0,335.0,400.0,557.0
FYN,993.0,7.0,236.0,193.0,947.0,690.0,244.0,93.0,694.0,453.0,773.0
BMX,1000.0,49.0,231.0,1.0,988.0,695.0,390.0,565.0,370.0,23.0,608.0
PLK1,1000.0,570.0,4.0,0.0,362.0,758.0,489.0,324.0,289.0,930.0,957.0
PLK2,1000.0,170.0,4.0,4.0,940.0,791.0,590.0,116.0,712.0,347.0,779.0
PLK3,5.0,503.0,604.0,945.0,1.0,60.0,711.0,940.0,940.0,935.0,829.0
IGF1R,971.0,855.0,985.0,49.0,116.0,48.0,568.0,949.0,3.0,324.0,6.0
IR,545.0,395.0,237.0,583.0,273.0,982.0,255.0,574.0,721.0,128.0,932.0
ITK,999.0,25.0,774.0,41.0,968.0,231.0,336.0,362.0,97.0,260.0,189.0
RSK2,1000.0,699.0,10.0,0.0,107.0,176.0,955.0,844.0,186.0,631.0,503.0
Dihydrofolate reductase (DHFR),670.0,11.0,8.0,168.0,337.0,164.0,986.0,998.0,700.0,433.0,519.0
MTOR,1000.0,107.0,28.0,10.0,1000.0,981.0,63.0,2.0,421.0,544.0,976.0
AKT1,755.0,792.0,472.0,616.0,982.0,905.0,401.0,12.0,153.0,316.0,939.0
AKT2,901.0,675.0,239.0,420.0,981.0,905.0,556.0,30.0,148.0,179.0,960.0
AKT3,990.0,268.0,63.0,200.0,254.0,54.0,739.0,456.0,909.0,709.0,70.0
HDAC1,999.0,553.0,955.0,0.0,2.0,387.0,47.0,983.0,574.0,216.0,763.0
HDAC3,1000.0,414.0,0.0,0.0,425.0,274.0,976.0,994.0,77.0,712.0,15.0
IKK,58.0,214.0,968.0,989.0,971.0,182.0,751.0,149.0,258.0,200.0,94.0
PI3Kbeta,490.0,75.0,995.0,992.0,1000.0,864.0,20.0,0.0,303.0,395.0,967.0
ERK5,73.0,17.0,990.0,1000.0,1000.0,244.0,73.0,14.0,231.0,390.0,186.0
BET,813.0,26.0,891.0,963.0,999.0,851.0,84.0,63.0,175.0,82.0,576.0
EIF2A,879.0,48.0,645.0,373.0,998.0,756.0,211.0,99.0,58.0,655.0,95.0
ERBB2,951.0,115.0,974.0,150.0,265.0,783.0,185.0,756.0,346.0,54.0,479.0
ROCK1,201.0,20.0,999.0,991.0,998.0,222.0,45.0,3.0,570.0,446.0,637.0
ROCK2,125.0,2.0,939.0,997.0,991.0,315.0,203.0,256.0,870.0,134.0,277.0
Anthracycline,979.0,241.0,235.0,372.0,340.0,375.0,601.0,657.0,630.0,280.0,18.0
TOP2,465.0,614.0,145.0,723.0,8.0,511.0,641.0,867.0,949.0,577.0,122.0
Pyrimidine antimetabolite,314.0,877.0,201.0,892.0,14.0,578.0,776.0,443.0,893.0,598.0,465.0
DNA crosslinker,370.0,732.0,183.0,680.0,1.0,407.0,890.0,993.0,810.0,460.0,237.0
