,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,791.0,638.0,995.0,236.0,360.0,130.0,854.0,8.0,432.0,572.0,18.0
MTORC1,885.0,409.0,493.0,328.0,739.0,152.0,628.0,152.0,510.0,525.0,647.0
PDGFR,376.0,203.0,849.0,376.0,595.0,287.0,367.0,380.0,102.0,955.0,467.0
KIT,500.0,474.0,19.0,697.0,589.0,857.0,268.0,870.0,399.0,708.0,978.0
VEGFR,687.0,302.0,741.0,377.0,71.0,731.0,991.0,351.0,861.0,616.0,945.0
FLT3,837.0,941.0,220.0,914.0,917.0,338.0,977.0,48.0,345.0,140.0,892.0
RET,949.0,701.0,483.0,24.0,594.0,190.0,746.0,75.0,218.0,887.0,154.0
CSF1R,265.0,345.0,161.0,128.0,229.0,787.0,819.0,605.0,945.0,553.0,468.0
MET,173.0,664.0,650.0,824.0,163.0,854.0,192.0,653.0,699.0,528.0,283.0
Proteasome,741.0,432.0,774.0,562.0,375.0,212.0,919.0,405.0,439.0,360.0,805.0
CAPN1,115.0,836.0,580.0,822.0,144.0,928.0,955.0,699.0,315.0,748.0,949.0
Microtubule stabiliser,438.0,786.0,666.0,246.0,678.0,478.0,501.0,412.0,139.0,708.0,782.0
SMO,261.0,434.0,751.0,824.0,81.0,767.0,897.0,573.0,844.0,318.0,497.0
BRAF,604.0,733.0,267.0,860.0,502.0,658.0,890.0,56.0,584.0,838.0,521.0
RAF,728.0,753.0,853.0,633.0,31.0,951.0,988.0,436.0,622.0,317.0,924.0
AURKA,149.0,685.0,677.0,478.0,885.0,574.0,25.0,603.0,83.0,592.0,111.0
AURKB,160.0,517.0,808.0,292.0,409.0,585.0,397.0,309.0,160.0,991.0,507.0
AURKC,491.0,864.0,451.0,658.0,328.0,725.0,717.0,452.0,837.0,83.0,825.0
others,207.0,949.0,472.0,384.0,162.0,912.0,905.0,628.0,178.0,862.0,736.0
ABL,363.0,760.0,926.0,569.0,154.0,543.0,968.0,79.0,405.0,908.0,424.0
ALK,666.0,101.0,322.0,447.0,808.0,126.0,293.0,849.0,139.0,588.0,646.0
ROS1,590.0,462.0,584.0,226.0,931.0,266.0,10.0,537.0,143.0,581.0,28.0
SRC,843.0,54.0,540.0,23.0,957.0,26.0,197.0,235.0,389.0,460.0,33.0
KIF11,797.0,942.0,860.0,19.0,853.0,470.0,541.0,25.0,42.0,777.0,172.0
gamma-secretase,427.0,727.0,596.0,361.0,183.0,641.0,960.0,317.0,508.0,879.0,850.0
Ephrins,903.0,531.0,674.0,57.0,777.0,81.0,588.0,189.0,282.0,574.0,251.0
BCR-ABL,548.0,393.0,451.0,576.0,496.0,497.0,75.0,732.0,607.0,274.0,83.0
CDK1,913.0,576.0,576.0,45.0,907.0,239.0,64.0,103.0,125.0,792.0,121.0
CDK2,580.0,878.0,972.0,83.0,603.0,721.0,614.0,98.0,26.0,803.0,226.0
CDK5,547.0,473.0,665.0,29.0,989.0,101.0,25.0,241.0,54.0,695.0,20.0
CDK7,310.0,296.0,316.0,730.0,756.0,261.0,595.0,478.0,892.0,100.0,749.0
CDK9,529.0,185.0,42.0,841.0,439.0,390.0,608.0,911.0,939.0,65.0,855.0
PKC,549.0,170.0,610.0,250.0,854.0,254.0,51.0,524.0,505.0,343.0,205.0
CDK4,833.0,915.0,749.0,116.0,960.0,94.0,17.0,90.0,113.0,383.0,10.0
LCK,757.0,82.0,424.0,222.0,933.0,78.0,154.0,449.0,417.0,340.0,334.0
FYN,828.0,847.0,720.0,29.0,279.0,492.0,982.0,42.0,632.0,696.0,253.0
BMX,724.0,676.0,869.0,82.0,206.0,486.0,367.0,695.0,329.0,245.0,251.0
PLK1,773.0,798.0,840.0,137.0,747.0,146.0,764.0,65.0,125.0,747.0,447.0
PLK2,504.0,790.0,812.0,675.0,118.0,604.0,972.0,296.0,623.0,548.0,875.0
PLK3,22.0,523.0,38.0,778.0,439.0,820.0,193.0,986.0,897.0,167.0,899.0
IGF1R,214.0,535.0,210.0,312.0,866.0,855.0,19.0,405.0,820.0,457.0,91.0
IR,112.0,321.0,420.0,294.0,869.0,781.0,244.0,157.0,464.0,937.0,273.0
ITK,910.0,417.0,342.0,150.0,554.0,208.0,523.0,402.0,799.0,129.0,52.0
RSK2,556.0,553.0,333.0,909.0,21.0,644.0,970.0,771.0,937.0,201.0,938.0
Dihydrofolate reductase (DHFR),571.0,294.0,675.0,795.0,399.0,396.0,823.0,779.0,212.0,398.0,867.0
MTOR,616.0,399.0,895.0,115.0,851.0,242.0,893.0,42.0,207.0,749.0,482.0
AKT1,666.0,454.0,483.0,65.0,943.0,206.0,228.0,371.0,55.0,798.0,127.0
AKT2,315.0,326.0,456.0,172.0,930.0,291.0,122.0,644.0,71.0,777.0,144.0
AKT3,310.0,846.0,670.0,588.0,517.0,698.0,587.0,619.0,110.0,396.0,883.0
HDAC1,289.0,71.0,553.0,948.0,105.0,771.0,937.0,558.0,975.0,268.0,947.0
HDAC3,760.0,953.0,861.0,72.0,343.0,561.0,910.0,94.0,155.0,870.0,124.0
IKK,246.0,558.0,259.0,436.0,591.0,711.0,53.0,726.0,352.0,822.0,488.0
PI3Kbeta,534.0,64.0,856.0,462.0,912.0,70.0,29.0,546.0,239.0,296.0,34.0
ERK5,543.0,377.0,250.0,384.0,817.0,128.0,67.0,573.0,702.0,285.0,15.0
BET,700.0,566.0,668.0,138.0,820.0,181.0,85.0,325.0,287.0,445.0,6.0
EIF2A,401.0,441.0,187.0,828.0,191.0,734.0,470.0,876.0,869.0,173.0,390.0
ERBB2,722.0,976.0,423.0,902.0,63.0,771.0,993.0,213.0,767.0,210.0,849.0
ROCK1,655.0,170.0,803.0,160.0,154.0,247.0,284.0,621.0,908.0,114.0,164.0
