,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,823.0,55.0,730.0,122.0,13.0,47.0,774.0,991.0,483.0,651.0,927.0
MTORC1,461.0,547.0,206.0,587.0,959.0,929.0,154.0,41.0,652.0,880.0,219.0
PDGFR,725.0,610.0,415.0,497.0,754.0,898.0,94.0,46.0,937.0,492.0,314.0
KIT,396.0,831.0,741.0,741.0,782.0,876.0,91.0,230.0,758.0,35.0,481.0
VEGFR,595.0,566.0,565.0,793.0,967.0,580.0,347.0,5.0,347.0,667.0,188.0
FLT3,716.0,533.0,885.0,455.0,788.0,284.0,606.0,302.0,192.0,180.0,417.0
RET,432.0,266.0,879.0,655.0,917.0,677.0,209.0,74.0,132.0,835.0,904.0
CSF1R,223.0,698.0,312.0,757.0,595.0,861.0,306.0,443.0,863.0,91.0,491.0
MET,76.0,923.0,833.0,231.0,958.0,715.0,624.0,355.0,122.0,299.0,614.0
Proteasome,399.0,562.0,145.0,613.0,788.0,900.0,187.0,136.0,798.0,765.0,426.0
CAPN1,249.0,772.0,585.0,900.0,508.0,653.0,228.0,249.0,622.0,134.0,781.0
Microtubule stabiliser,650.0,345.0,204.0,407.0,681.0,635.0,591.0,239.0,507.0,906.0,194.0
SMO,391.0,393.0,668.0,652.0,133.0,808.0,236.0,662.0,845.0,218.0,711.0
BRAF,666.0,41.0,639.0,732.0,348.0,935.0,121.0,420.0,797.0,716.0,673.0
RAF,685.0,598.0,176.0,523.0,808.0,354.0,634.0,261.0,495.0,293.0,106.0
AURKA,930.0,514.0,764.0,406.0,126.0,10.0,875.0,803.0,91.0,237.0,445.0
AURKB,818.0,596.0,239.0,678.0,765.0,882.0,165.0,20.0,742.0,661.0,206.0
AURKC,884.0,285.0,180.0,554.0,592.0,203.0,731.0,126.0,548.0,816.0,71.0
others,645.0,906.0,78.0,491.0,613.0,346.0,678.0,147.0,834.0,326.0,54.0
ABL,742.0,245.0,407.0,580.0,427.0,961.0,178.0,578.0,773.0,203.0,413.0
ALK,372.0,225.0,214.0,426.0,254.0,795.0,312.0,525.0,923.0,860.0,681.0
ROS1,215.0,923.0,185.0,617.0,998.0,836.0,305.0,15.0,429.0,594.0,207.0
SRC,639.0,594.0,71.0,422.0,660.0,924.0,183.0,219.0,951.0,490.0,447.0
KIF11,594.0,465.0,123.0,660.0,793.0,900.0,275.0,90.0,850.0,741.0,124.0
gamma-secretase,647.0,412.0,338.0,681.0,861.0,883.0,311.0,40.0,638.0,844.0,167.0
Ephrins,585.0,285.0,145.0,680.0,783.0,924.0,240.0,96.0,877.0,887.0,258.0
BCR-ABL,451.0,597.0,545.0,667.0,84.0,808.0,149.0,814.0,808.0,120.0,850.0
CDK1,625.0,860.0,768.0,336.0,177.0,405.0,703.0,786.0,329.0,40.0,251.0
CDK2,691.0,948.0,684.0,658.0,362.0,111.0,492.0,254.0,515.0,17.0,328.0
CDK5,747.0,60.0,558.0,539.0,616.0,651.0,526.0,248.0,712.0,906.0,219.0
CDK7,917.0,496.0,711.0,188.0,641.0,213.0,724.0,321.0,339.0,477.0,118.0
CDK9,379.0,747.0,381.0,431.0,180.0,128.0,752.0,962.0,235.0,149.0,639.0
PKC,572.0,389.0,202.0,302.0,646.0,860.0,251.0,443.0,764.0,772.0,405.0
CDK4,771.0,864.0,592.0,657.0,620.0,587.0,384.0,46.0,730.0,55.0,283.0
LCK,511.0,590.0,106.0,208.0,329.0,923.0,172.0,731.0,950.0,581.0,375.0
FYN,537.0,68.0,180.0,491.0,643.0,961.0,146.0,407.0,969.0,742.0,613.0
BMX,677.0,910.0,118.0,637.0,555.0,491.0,408.0,519.0,566.0,23.0,563.0
PLK1,573.0,520.0,150.0,453.0,804.0,823.0,366.0,137.0,690.0,844.0,212.0
PLK2,254.0,885.0,98.0,474.0,827.0,861.0,312.0,174.0,826.0,436.0,284.0
PLK3,484.0,519.0,719.0,167.0,147.0,14.0,912.0,905.0,104.0,769.0,745.0
IGF1R,928.0,359.0,578.0,23.0,6.0,48.0,537.0,989.0,555.0,672.0,774.0
IR,975.0,337.0,89.0,155.0,683.0,584.0,178.0,224.0,897.0,780.0,530.0
ITK,256.0,474.0,115.0,709.0,933.0,943.0,207.0,109.0,920.0,620.0,424.0
RSK2,131.0,833.0,505.0,549.0,792.0,954.0,249.0,130.0,889.0,216.0,534.0
Dihydrofolate reductase (DHFR),480.0,762.0,833.0,587.0,259.0,704.0,316.0,663.0,667.0,54.0,734.0
MTOR,427.0,555.0,166.0,560.0,944.0,905.0,302.0,55.0,589.0,860.0,198.0
AKT1,315.0,985.0,428.0,879.0,991.0,702.0,215.0,3.0,341.0,135.0,254.0
AKT2,417.0,992.0,404.0,783.0,991.0,765.0,164.0,4.0,322.0,81.0,259.0
AKT3,467.0,765.0,817.0,907.0,548.0,277.0,167.0,122.0,599.0,67.0,767.0
