,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.00102689084777,0.0687229579604,0.0694542489899,-0.335927554616,0.235455897206,0.111778736836,-0.0115981392046,-0.0892841976086,0.300654736104,0.00747252571121,0.196457091496
MTORC1,0.0922492973791,0.177400455644,0.0115076354491,-0.248216997043,0.104541543399,-0.10490747088,0.0405599685131,-0.0243131189762,0.104619168374,0.0663346349384,-0.0461420370099
PDGFR,0.0512452289048,0.0449209876662,-0.0291721230554,-0.0740075854968,-0.0365183935251,0.0214285358565,0.0166365167016,0.0446090720465,0.0308760387575,-0.0162801198159,0.0247251212528
KIT,-0.0433382780489,-0.0621777210948,0.0368571018089,-0.0477259988718,0.0721709259539,0.00366360957579,-0.0649088966211,-0.0916181315997,0.0869305309997,0.0839600093126,-0.0561458806375
VEGFR,-0.0477743499079,0.101578397602,-0.157657433319,0.0836783334319,-0.0694226495148,0.0723069424271,0.0820845976174,0.0425221093067,0.0240434252049,-0.094289426129,-0.0252832591358
FLT3,-0.0492238187359,0.0225468483187,-0.0197779382484,-0.0731487501045,0.110057442421,0.0780464675607,-0.0692588498133,-0.106057036013,0.134897308497,0.0243707550092,0.00205197001303
RET,0.0012094392797,-0.0213484537953,0.0729554029224,0.0861057022524,-0.0981319857938,-0.0808068496869,0.0429833395464,0.0657407276612,-0.0683577223246,0.00594068561005,-0.029385846628
CSF1R,0.0442667491998,0.035799612499,-0.0109620955256,0.0403527300352,-0.15330078405,-0.0257542520413,0.104533190819,0.143661854978,-0.0568514020849,-0.0596534146546,-0.0361036336791
MET,-0.0306673149544,0.000718763784323,-0.111303710212,0.0419934782868,0.0852191024669,0.000222828726485,0.00232815540919,-0.0388327017396,0.0443708020665,-0.0913854655285,0.00711960084058
Proteasome,0.275923251723,0.113374861325,0.18588657036,-0.13168680163,-0.408040881424,-0.197673588866,0.0937439803624,0.34528015594,-0.167971937374,0.213661147226,-0.0703765745895
CAPN1,0.00396492740188,-0.0835580204544,-0.0416161080801,0.00937937882936,0.0177869607877,0.0229713320543,0.00069977307726,-0.0495551356192,0.0773268580958,-0.0386437208552,-0.0658030981738
Microtubule stabiliser,0.247103731092,-0.0177696139962,0.255790239481,-0.0705584050751,-0.273215273001,-0.293673334026,0.00887591110254,0.225485673749,-0.284297390734,0.395301082216,-0.142332286204
SMO,-0.00735277138472,-0.0115158907256,-0.0341354354158,-0.00905740582157,0.00428710813718,0.0650594573878,0.0135376260485,0.00122664358785,0.09405525593,-0.0825726451821,0.0333264017093
BRAF,0.125072300637,0.231552383056,-0.133214306348,0.186168465221,-0.0475102525591,-0.201914028726,0.0591761608129,0.211757417583,-0.136783937217,-0.160366664789,0.135226337493
RAF,0.0795223731082,0.0536540577037,-0.117258853098,-0.00429372967067,0.0608362453145,-0.0781138086246,-0.00101998993817,0.0132514472937,-0.078237021992,-0.0650489089804,0.00717054246468
AURKA,-0.178184298382,-0.0514781063279,-0.0545665800409,0.0891284769573,0.0938685434419,0.175066726498,-0.126465633677,-0.158334601233,0.147527892057,0.0300686745181,-0.0661158292246
AURKB,0.0976769101735,0.00465944621712,-0.119891314186,-0.0693208081035,0.00260459358675,0.023597955588,-0.0271601242974,0.0162599743217,0.00450800469568,0.0708774582218,-0.0342575557794
AURKC,-0.00397507781743,-0.00160953757644,-0.0620854961989,0.052372383767,-0.00904498116829,0.0281311814023,-0.0649732980863,0.0439880804694,0.0261641130547,-0.0360558458222,-0.000494228374039
others,0.0431441656124,-0.009338314687,0.0296403739934,0.147819943021,-0.134678735622,-0.0547048059148,-0.0287327654856,0.100201995315,-0.098151221744,-0.00112374668718,-0.0358231650671
