,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.250659336368,-0.12323268645,0.0653692457407,-0.197473942821,-0.287424050186,0.0400705959701,-0.00954610934568,0.200863766601,0.179588462066,-0.190555453567,0.140586489966
MTORC1,-0.00167283281153,-0.0529773308938,0.0676744194359,0.0379997406933,0.0102595825898,-0.0536918578276,0.0340927326239,-0.0336180448977,-0.120794938589,-0.137472978947,-0.108468450985
PDGFR,0.0453123708136,-0.0021565709863,0.00196258865434,-0.0247986262751,-0.0270986414901,0.0585410251741,0.034108597541,-0.0119555913306,0.0105264295048,0.0159354811001,0.00221320158986
KIT,-0.00257285469734,-0.0340412957498,-0.0072727554673,0.0105936931761,0.0222886417427,-0.0308805791972,-0.0115887774173,-0.00148065694993,0.0437978305405,-0.0128446507125,0.0102572204894
VEGFR,0.0594132254344,-0.0262882417732,-0.0047837434746,-0.0134618017416,-0.233275672183,0.0634381901418,-0.00744525993559,0.172556863894,0.0572360748614,-0.030817158198,0.0791960516396
FLT3,-0.01130516645,-0.026396605125,0.011647916518,0.00759690914997,0.0911226647303,-0.0551180780549,-0.0211663606199,-0.0358823105516,-0.0496165380072,-0.00495663594653,-0.0780256643302
RET,-0.0358104540584,0.0257602811812,0.053860713972,0.0660431686733,0.1541770955,-0.0773432596105,0.0164319670165,-0.127366204439,-0.114239307605,0.00328071842577,-0.0719107328387
CSF1R,0.0162518483563,-0.00531306748757,-0.0210538247015,0.0169687663852,0.0359507347823,-0.0294059071718,0.0307732766673,-0.0532159032022,-0.0401208729152,0.080449416266,0.0193586744539
MET,0.0127672697916,0.00666776435488,0.0269961459992,0.0416359893006,0.0301012680673,-0.0402389649582,0.0152650025078,-0.030634181187,-0.0621658182014,0.0335788962344,0.0208965888474
Proteasome,-0.0207738273017,0.094424766297,-0.097057928809,0.0581143675848,-0.108897943962,0.094666650475,0.010410057589,0.0602333970635,-0.0119491858874,0.0316681239746,-0.0373707292611
CAPN1,0.0173725725243,0.00354727251293,-0.0261096673522,-0.0152422394117,-0.0519447644793,0.0233681256401,-0.00374710850968,0.00633152442939,0.0125286151453,-0.0153406034371,-0.0311086473389
