,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,38.0,267.0,818.0,692.0,577.0,952.0,406.0,111.0,824.0,894.0,70.0
MTORC1,827.0,539.0,711.0,89.0,167.0,429.0,393.0,978.0,93.0,538.0,443.0
PDGFR,965.0,417.0,181.0,508.0,301.0,14.0,271.0,347.0,875.0,439.0,544.0
KIT,936.0,665.0,943.0,95.0,463.0,636.0,552.0,611.0,88.0,113.0,306.0
VEGFR,904.0,418.0,290.0,595.0,654.0,210.0,677.0,15.0,924.0,375.0,487.0
FLT3,365.0,971.0,130.0,307.0,957.0,265.0,702.0,167.0,45.0,816.0,938.0
RET,56.0,630.0,502.0,905.0,942.0,330.0,542.0,3.0,968.0,470.0,920.0
CSF1R,89.0,845.0,372.0,998.0,379.0,93.0,426.0,144.0,726.0,417.0,973.0
MET,333.0,505.0,152.0,415.0,832.0,874.0,316.0,46.0,771.0,675.0,495.0
Proteasome,106.0,672.0,666.0,642.0,430.0,145.0,623.0,420.0,739.0,772.0,907.0
CAPN1,406.0,634.0,611.0,760.0,681.0,787.0,466.0,27.0,544.0,587.0,162.0
Microtubule stabiliser,651.0,399.0,622.0,265.0,182.0,163.0,456.0,979.0,235.0,658.0,630.0
SMO,822.0,395.0,648.0,245.0,133.0,732.0,525.0,668.0,515.0,408.0,402.0
BRAF,509.0,340.0,951.0,102.0,106.0,636.0,898.0,756.0,708.0,305.0,550.0
RAF,160.0,795.0,581.0,772.0,539.0,358.0,389.0,102.0,571.0,840.0,519.0
AURKA,978.0,116.0,275.0,70.0,150.0,665.0,96.0,995.0,54.0,688.0,347.0
AURKB,815.0,151.0,989.0,348.0,17.0,184.0,749.0,901.0,432.0,405.0,853.0
AURKC,987.0,237.0,10.0,184.0,174.0,252.0,128.0,998.0,222.0,682.0,47.0
others,557.0,648.0,72.0,526.0,373.0,494.0,342.0,941.0,85.0,568.0,717.0
ABL,617.0,244.0,986.0,792.0,163.0,47.0,859.0,450.0,784.0,478.0,146.0
ALK,584.0,607.0,133.0,614.0,760.0,115.0,19.0,216.0,805.0,683.0,864.0
ROS1,380.0,612.0,602.0,468.0,507.0,379.0,507.0,276.0,523.0,710.0,488.0
SRC,232.0,169.0,300.0,524.0,420.0,725.0,143.0,911.0,290.0,862.0,294.0
KIF11,767.0,297.0,728.0,177.0,297.0,405.0,808.0,937.0,251.0,147.0,597.0
gamma-secretase,79.0,623.0,370.0,545.0,565.0,207.0,504.0,611.0,744.0,712.0,914.0
Ephrins,660.0,527.0,140.0,522.0,445.0,62.0,132.0,955.0,200.0,785.0,835.0
BCR-ABL,103.0,878.0,197.0,811.0,395.0,400.0,168.0,199.0,744.0,939.0,748.0
CDK1,40.0,941.0,365.0,895.0,339.0,327.0,47.0,415.0,552.0,881.0,937.0
CDK2,253.0,418.0,61.0,51.0,400.0,986.0,111.0,996.0,69.0,857.0,181.0
CDK5,884.0,104.0,399.0,20.0,202.0,758.0,742.0,999.0,66.0,207.0,160.0
CDK7,905.0,76.0,254.0,0.0,395.0,983.0,802.0,974.0,269.0,402.0,96.0
CDK9,834.0,34.0,618.0,5.0,388.0,992.0,793.0,861.0,520.0,200.0,446.0
PKC,610.0,640.0,755.0,811.0,150.0,93.0,671.0,535.0,294.0,743.0,839.0
CDK4,15.0,110.0,935.0,895.0,209.0,527.0,856.0,909.0,864.0,214.0,358.0
LCK,397.0,446.0,320.0,226.0,383.0,764.0,86.0,990.0,101.0,659.0,291.0
FYN,507.0,730.0,104.0,842.0,528.0,34.0,50.0,618.0,219.0,932.0,753.0
BMX,430.0,489.0,658.0,277.0,71.0,932.0,153.0,996.0,195.0,356.0,150.0
PLK1,111.0,712.0,293.0,595.0,467.0,118.0,319.0,644.0,706.0,854.0,950.0
PLK2,66.0,762.0,211.0,752.0,616.0,200.0,130.0,333.0,627.0,915.0,870.0
PLK3,669.0,352.0,145.0,188.0,938.0,783.0,639.0,254.0,533.0,114.0,967.0
IGF1R,91.0,800.0,59.0,933.0,763.0,277.0,336.0,462.0,224.0,925.0,788.0
IR,120.0,162.0,510.0,859.0,276.0,329.0,424.0,919.0,325.0,915.0,418.0
ITK,528.0,793.0,162.0,903.0,566.0,107.0,67.0,456.0,130.0,858.0,528.0
RSK2,206.0,706.0,875.0,822.0,445.0,286.0,754.0,245.0,366.0,614.0,646.0
