,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,91.0,274.0,634.0,827.0,161.0,589.0,38.0,896.0,708.0,517.0,148.0
MTORC1,642.0,32.0,741.0,616.0,391.0,693.0,347.0,401.0,776.0,504.0,675.0
PDGFR,374.0,712.0,733.0,499.0,263.0,558.0,578.0,461.0,448.0,571.0,793.0
KIT,388.0,723.0,297.0,833.0,255.0,865.0,85.0,153.0,370.0,789.0,457.0
VEGFR,367.0,487.0,445.0,602.0,189.0,431.0,330.0,733.0,596.0,657.0,851.0
FLT3,479.0,985.0,41.0,414.0,230.0,582.0,366.0,229.0,24.0,975.0,226.0
RET,302.0,700.0,126.0,850.0,515.0,673.0,71.0,526.0,427.0,784.0,428.0
CSF1R,170.0,812.0,375.0,155.0,664.0,650.0,536.0,479.0,276.0,870.0,609.0
MET,524.0,392.0,149.0,411.0,435.0,596.0,201.0,785.0,446.0,790.0,647.0
Proteasome,394.0,589.0,490.0,561.0,501.0,554.0,384.0,485.0,457.0,571.0,448.0
CAPN1,478.0,372.0,546.0,527.0,498.0,464.0,460.0,584.0,565.0,448.0,462.0
Microtubule stabiliser,568.0,348.0,766.0,310.0,499.0,282.0,831.0,602.0,549.0,312.0,587.0
SMO,404.0,951.0,125.0,874.0,225.0,601.0,205.0,331.0,214.0,756.0,313.0
BRAF,436.0,928.0,634.0,226.0,280.0,683.0,710.0,179.0,96.0,856.0,823.0
RAF,514.0,355.0,436.0,513.0,421.0,529.0,416.0,631.0,561.0,551.0,527.0
AURKA,920.0,121.0,613.0,308.0,765.0,205.0,678.0,669.0,831.0,54.0,530.0
AURKB,497.0,574.0,27.0,736.0,551.0,489.0,628.0,353.0,424.0,901.0,685.0
AURKC,956.0,453.0,619.0,490.0,363.0,214.0,633.0,729.0,482.0,57.0,503.0
others,653.0,179.0,506.0,584.0,555.0,782.0,186.0,575.0,753.0,277.0,282.0
ABL,190.0,974.0,112.0,704.0,53.0,608.0,222.0,596.0,145.0,953.0,359.0
ALK,419.0,968.0,168.0,684.0,497.0,702.0,270.0,159.0,204.0,665.0,348.0
ROS1,673.0,432.0,651.0,481.0,528.0,344.0,670.0,561.0,506.0,332.0,527.0
SRC,329.0,73.0,581.0,667.0,105.0,265.0,379.0,944.0,779.0,712.0,470.0
KIF11,585.0,463.0,474.0,524.0,485.0,468.0,483.0,484.0,554.0,415.0,473.0
gamma-secretase,464.0,621.0,431.0,513.0,415.0,466.0,408.0,501.0,461.0,521.0,428.0
Ephrins,517.0,587.0,470.0,476.0,565.0,497.0,524.0,384.0,448.0,567.0,404.0
BCR-ABL,532.0,698.0,497.0,410.0,547.0,545.0,597.0,428.0,407.0,518.0,549.0
CDK1,419.0,18.0,817.0,780.0,373.0,338.0,212.0,888.0,940.0,220.0,476.0
CDK2,645.0,19.0,807.0,640.0,635.0,379.0,320.0,731.0,929.0,102.0,357.0
CDK5,509.0,873.0,366.0,659.0,501.0,574.0,599.0,215.0,312.0,426.0,232.0
CDK7,480.0,11.0,685.0,562.0,580.0,105.0,760.0,872.0,932.0,361.0,563.0
CDK9,573.0,608.0,231.0,141.0,762.0,111.0,877.0,844.0,580.0,511.0,809.0
PKC,414.0,714.0,619.0,403.0,443.0,729.0,316.0,276.0,239.0,627.0,380.0
CDK4,651.0,724.0,109.0,814.0,535.0,674.0,322.0,390.0,187.0,590.0,231.0
LCK,534.0,18.0,623.0,604.0,591.0,550.0,204.0,771.0,876.0,355.0,512.0
FYN,605.0,439.0,525.0,523.0,484.0,465.0,497.0,589.0,521.0,408.0,429.0
BMX,967.0,59.0,874.0,356.0,757.0,612.0,739.0,54.0,870.0,88.0,624.0
PLK1,537.0,429.0,517.0,505.0,501.0,407.0,440.0,617.0,542.0,392.0,452.0
PLK2,606.0,376.0,625.0,573.0,450.0,535.0,534.0,576.0,576.0,422.0,636.0
PLK3,789.0,206.0,319.0,205.0,806.0,69.0,943.0,742.0,791.0,412.0,812.0
IGF1R,795.0,234.0,638.0,179.0,616.0,940.0,718.0,107.0,198.0,882.0,956.0
IR,693.0,812.0,281.0,257.0,211.0,782.0,294.0,207.0,146.0,931.0,607.0
ITK,602.0,342.0,487.0,497.0,516.0,374.0,509.0,529.0,558.0,419.0,451.0
RSK2,538.0,551.0,564.0,497.0,466.0,630.0,488.0,399.0,374.0,503.0,453.0
Dihydrofolate reductase (DHFR),567.0,416.0,439.0,500.0,491.0,356.0,520.0,526.0,592.0,419.0,415.0
MTOR,314.0,91.0,719.0,709.0,245.0,455.0,310.0,793.0,653.0,591.0,713.0
AKT1,140.0,79.0,424.0,799.0,326.0,651.0,55.0,896.0,825.0,664.0,467.0
AKT2,119.0,49.0,468.0,812.0,334.0,645.0,46.0,906.0,878.0,592.0,475.0
AKT3,685.0,572.0,402.0,79.0,916.0,454.0,620.0,441.0,707.0,202.0,353.0
HDAC1,103.0,63.0,787.0,228.0,641.0,361.0,306.0,849.0,854.0,569.0,530.0
HDAC3,491.0,524.0,406.0,581.0,520.0,482.0,421.0,539.0,483.0,482.0,484.0
IKK,127.0,903.0,137.0,782.0,113.0,758.0,320.0,541.0,105.0,967.0,645.0
PI3Kbeta,93.0,479.0,524.0,919.0,443.0,858.0,32.0,465.0,411.0,585.0,333.0
ERK5,462.0,941.0,77.0,658.0,673.0,439.0,296.0,476.0,200.0,576.0,508.0
BET,405.0,672.0,366.0,482.0,556.0,576.0,380.0,359.0,473.0,594.0,501.0
EIF2A,562.0,472.0,559.0,552.0,602.0,389.0,634.0,372.0,525.0,371.0,474.0
ERBB2,175.0,379.0,687.0,274.0,322.0,563.0,86.0,809.0,759.0,483.0,337.0
ROCK1,836.0,876.0,693.0,359.0,816.0,139.0,971.0,72.0,525.0,64.0,491.0
ROCK2,800.0,76.0,893.0,770.0,704.0,85.0,891.0,443.0,941.0,14.0,446.0
Anthracycline,473.0,491.0,846.0,181.0,465.0,321.0,852.0,481.0,512.0,377.0,748.0
TOP2,563.0,651.0,830.0,74.0,609.0,282.0,938.0,367.0,484.0,351.0,725.0
Pyrimidine antimetabolite,329.0,921.0,617.0,162.0,523.0,632.0,435.0,356.0,234.0,510.0,509.0
DNA crosslinker,223.0,969.0,263.0,664.0,120.0,449.0,234.0,764.0,298.0,550.0,282.0
Microtubule destabiliser,510.0,104.0,854.0,384.0,347.0,208.0,803.0,786.0,783.0,284.0,665.0
SHP-1 (PTPN6),545.0,932.0,397.0,808.0,693.0,514.0,425.0,166.0,210.0,324.0,204.0
SHP-2 (PTPN11),556.0,971.0,365.0,789.0,650.0,589.0,416.0,160.0,151.0,364.0,202.0
AR,652.0,972.0,220.0,524.0,599.0,707.0,411.0,75.0,238.0,576.0,368.0
ARFGAP1,782.0,905.0,498.0,70.0,719.0,685.0,716.0,105.0,232.0,527.0,684.0
ATM,512.0,68.0,415.0,664.0,394.0,720.0,114.0,828.0,649.0,631.0,661.0
PPK,885.0,215.0,551.0,24.0,933.0,427.0,802.0,504.0,598.0,250.0,592.0
FLT1,838.0,228.0,335.0,54.0,883.0,511.0,591.0,699.0,550.0,441.0,636.0
c-FGR,868.0,158.0,585.0,29.0,922.0,404.0,822.0,501.0,661.0,247.0,575.0
GSK3A,529.0,835.0,132.0,490.0,855.0,891.0,85.0,342.0,226.0,489.0,259.0
GSK3B,430.0,836.0,110.0,489.0,829.0,895.0,58.0,412.0,225.0,595.0,273.0
PDGFRA,304.0,489.0,545.0,94.0,556.0,816.0,397.0,248.0,324.0,916.0,633.0
VEGFR2,825.0,844.0,179.0,224.0,741.0,456.0,656.0,106.0,255.0,620.0,473.0
FGFR1,491.0,837.0,654.0,135.0,438.0,741.0,739.0,62.0,133.0,933.0,904.0
TIE2,880.0,641.0,193.0,50.0,820.0,619.0,754.0,179.0,268.0,828.0,857.0
JNK2,693.0,149.0,831.0,51.0,837.0,580.0,908.0,406.0,744.0,281.0,415.0
JNK3,554.0,339.0,782.0,142.0,609.0,391.0,902.0,538.0,506.0,395.0,512.0
FAK,859.0,91.0,938.0,30.0,803.0,658.0,959.0,269.0,652.0,185.0,670.0
FAK2,808.0,86.0,922.0,58.0,705.0,688.0,919.0,335.0,612.0,260.0,624.0
BRD2,85.0,18.0,926.0,463.0,368.0,572.0,242.0,978.0,731.0,650.0,793.0
BRD3,77.0,15.0,917.0,423.0,376.0,513.0,299.0,972.0,731.0,664.0,768.0
BRD4,16.0,34.0,984.0,669.0,160.0,678.0,410.0,928.0,764.0,585.0,487.0
BRDT,818.0,721.0,839.0,123.0,668.0,471.0,921.0,159.0,380.0,160.0,621.0
HDAC2,559.0,720.0,650.0,52.0,767.0,608.0,771.0,214.0,379.0,481.0,524.0
HIF-PH,394.0,943.0,472.0,395.0,434.0,824.0,385.0,181.0,132.0,708.0,457.0
Farnesyl-transferase (FNTA),926.0,440.0,811.0,94.0,801.0,280.0,987.0,149.0,441.0,169.0,569.0
PDK1 (PDPK1),615.0,11.0,744.0,249.0,422.0,425.0,671.0,960.0,910.0,355.0,906.0
not defined,847.0,593.0,655.0,10.0,833.0,490.0,710.0,141.0,341.0,540.0,608.0
XIAP,171.0,864.0,746.0,192.0,359.0,656.0,480.0,538.0,304.0,575.0,444.0
PPARgamma,248.0,817.0,722.0,198.0,424.0,775.0,640.0,335.0,174.0,736.0,470.0
PPARdelta,227.0,801.0,729.0,204.0,418.0,763.0,619.0,347.0,206.0,733.0,465.0
Procaspase-3,833.0,958.0,232.0,120.0,779.0,796.0,239.0,47.0,291.0,471.0,753.0
Procaspase-7,752.0,967.0,209.0,145.0,745.0,763.0,199.0,69.0,278.0,579.0,759.0
PAK1,708.0,714.0,448.0,63.0,713.0,259.0,769.0,478.0,589.0,414.0,471.0
SGK2,382.0,872.0,673.0,185.0,526.0,491.0,826.0,327.0,275.0,557.0,524.0
SGK3,365.0,880.0,684.0,166.0,517.0,506.0,824.0,338.0,270.0,549.0,534.0
SYK,884.0,724.0,583.0,54.0,781.0,471.0,961.0,160.0,315.0,434.0,739.0
Antimetabolite (DNA & RNA),755.0,92.0,495.0,547.0,757.0,169.0,618.0,515.0,919.0,212.0,561.0
SERCA,308.0,311.0,873.0,146.0,479.0,596.0,753.0,691.0,473.0,467.0,652.0
BCL2,69.0,448.0,718.0,759.0,195.0,721.0,118.0,786.0,360.0,775.0,718.0
BCL-XL,51.0,423.0,714.0,769.0,226.0,733.0,54.0,819.0,343.0,766.0,687.0
BCL-W,313.0,871.0,783.0,55.0,674.0,533.0,653.0,374.0,291.0,504.0,795.0
MCL1,384.0,321.0,883.0,67.0,691.0,572.0,696.0,601.0,418.0,468.0,609.0
Retinioic X receptor (RXR) agonist,115.0,113.0,770.0,109.0,694.0,133.0,749.0,967.0,960.0,183.0,238.0
dsDNA break induction,673.0,363.0,870.0,63.0,779.0,565.0,963.0,205.0,302.0,517.0,703.0
BTK,934.0,29.0,753.0,434.0,784.0,595.0,571.0,229.0,866.0,158.0,661.0
HSP90,873.0,199.0,847.0,540.0,559.0,363.0,825.0,135.0,720.0,144.0,496.0
Biguanide agent,603.0,731.0,365.0,411.0,626.0,845.0,414.0,155.0,249.0,704.0,577.0
PDGFRB,349.0,48.0,381.0,101.0,686.0,201.0,499.0,852.0,913.0,714.0,714.0
IKK1,981.0,140.0,639.0,633.0,648.0,229.0,863.0,392.0,916.0,14.0,116.0
IKK2,895.0,102.0,611.0,232.0,726.0,206.0,787.0,745.0,825.0,101.0,554.0
Amyloid beta20,230.0,932.0,279.0,739.0,316.0,590.0,280.0,299.0,167.0,753.0,248.0
Amyloid beta40,285.0,951.0,308.0,670.0,286.0,610.0,374.0,269.0,158.0,808.0,270.0
JAK1,511.0,989.0,345.0,374.0,470.0,538.0,436.0,416.0,110.0,424.0,317.0
JAK2,472.0,44.0,513.0,689.0,205.0,674.0,69.0,859.0,868.0,579.0,612.0
