,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,625.0,398.0,401.0,999.0,60.0,296.0,663.0,832.0,20.0,614.0,118.0
MTORC1,190.0,41.0,444.0,999.0,150.0,880.0,371.0,604.0,156.0,247.0,693.0
PDGFR,87.0,158.0,835.0,978.0,880.0,321.0,396.0,138.0,254.0,718.0,347.0
KIT,775.0,868.0,196.0,804.0,107.0,464.0,851.0,925.0,70.0,58.0,826.0
VEGFR,780.0,50.0,986.0,85.0,804.0,93.0,113.0,233.0,270.0,921.0,557.0
FLT3,809.0,374.0,605.0,820.0,30.0,111.0,889.0,953.0,25.0,291.0,511.0
RET,381.0,750.0,37.0,31.0,994.0,975.0,153.0,37.0,966.0,423.0,837.0
CSF1R,190.0,272.0,639.0,254.0,998.0,716.0,45.0,10.0,880.0,898.0,765.0
MET,610.0,400.0,994.0,109.0,8.0,499.0,366.0,778.0,104.0,978.0,399.0
Proteasome,18.0,208.0,119.0,934.0,1000.0,957.0,270.0,7.0,933.0,48.0,783.0
CAPN1,361.0,928.0,753.0,383.0,253.0,272.0,437.0,834.0,51.0,723.0,894.0
Microtubule stabiliser,53.0,623.0,51.0,747.0,984.0,981.0,556.0,65.0,978.0,3.0,867.0
SMO,638.0,594.0,745.0,597.0,500.0,142.0,425.0,504.0,51.0,954.0,284.0
BRAF,178.0,21.0,916.0,54.0,761.0,980.0,338.0,45.0,924.0,951.0,131.0
RAF,40.0,112.0,974.0,481.0,87.0,888.0,448.0,357.0,910.0,819.0,358.0
AURKA,967.0,692.0,636.0,98.0,93.0,17.0,901.0,940.0,30.0,264.0,734.0
AURKB,24.0,489.0,993.0,936.0,452.0,252.0,714.0,412.0,400.0,84.0,770.0
AURKC,515.0,457.0,934.0,148.0,391.0,223.0,912.0,227.0,232.0,781.0,443.0
others,247.0,548.0,386.0,8.0,987.0,826.0,702.0,60.0,952.0,479.0,753.0
ABL,42.0,189.0,997.0,994.0,525.0,6.0,253.0,501.0,25.0,985.0,265.0
ALK,236.0,42.0,843.0,405.0,188.0,805.0,160.0,530.0,194.0,991.0,459.0
ROS1,35.0,288.0,969.0,292.0,702.0,821.0,399.0,52.0,940.0,806.0,450.0
SRC,102.0,275.0,15.0,1000.0,998.0,466.0,359.0,49.0,637.0,345.0,650.0
KIF11,166.0,820.0,655.0,205.0,472.0,898.0,750.0,387.0,989.0,100.0,450.0
gamma-secretase,6.0,734.0,2.0,989.0,1000.0,906.0,740.0,71.0,952.0,31.0,580.0
Ephrins,83.0,673.0,6.0,992.0,999.0,785.0,663.0,107.0,659.0,23.0,774.0
BCR-ABL,599.0,247.0,30.0,910.0,635.0,798.0,413.0,434.0,189.0,449.0,555.0
CDK1,985.0,528.0,87.0,325.0,639.0,32.0,656.0,561.0,507.0,230.0,421.0
CDK2,810.0,286.0,622.0,447.0,505.0,94.0,607.0,276.0,577.0,400.0,601.0
CDK5,270.0,214.0,323.0,774.0,991.0,213.0,493.0,128.0,534.0,137.0,915.0
CDK7,978.0,871.0,61.0,77.0,954.0,321.0,852.0,316.0,833.0,3.0,566.0
CDK9,519.0,888.0,350.0,112.0,315.0,875.0,494.0,867.0,557.0,227.0,854.0
